Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value
Mike Williams,WR,LAC,@CIN,4700,0,-9.26,11.5,2.25
Curtis Samuel,WR,CAR,LV,4600,1.1,-7.92,20.7,11.61
Sammy Watkins,WR,KC,HOU,4600,1.1,-7.95,19.9,10.79
Kyle Rudolph,TE,MIN,GB,4600,0.4,-7.97,15.5,7.15
Dede Westbrook,WR,JAX,IND,4600,0,-9.06,14.1,5.04
Carlos Hyde,RB,SEA,@ATL,4600,0,-8.14,15.8,7.68
Devin Asiasi,TE,NE,MIA,4600,0,-8.37,14.4,6.05
Randall Cobb,WR,HOU,@KC,4500,1,-7.84,19.5,10.63
Larry Fitzgerald,WR,ARI,@SF,4500,0.9,-8,19.1,10.25
Malcolm Brown,RB,LAR,DAL,4500,0.8,-7.16,18.1,10.18
Preston Williams,WR,MIA,@NE,4500,0.5,-8.33,19.5,10.68
Brandon Aiyuk,WR,SF,ARI,4500,0.3,-8.54,19.6,10.75
Hunter Renfrow,WR,LV,@CAR,4500,0.3,-8.54,17.9,9
Duke Johnson,RB,HOU,@KC,4500,0.2,-7.8,17.4,9.41
Ke'Shawn Vaughn,RB,TB,@NO,4500,0,-7.97,11.8,3.83
Jonnu Smith,TE,TEN,@DEN,4400,1.9,-6.15,17.5,9.48
Laviska Shenault,WR,JAX,IND,4400,0.9,-7.76,19.7,11.04
N'Keal Harry,WR,NE,MIA,4400,0.8,-7.88,20.5,11.79
Zack Moss,RB,BUF,NYJ,4400,0.7,-7.08,18.4,10.66
Michael Pittman Jr.,WR,IND,@JAX,4400,0.4,-8.23,19.3,10.65
Kerryon Johnson,RB,DET,CHI,4400,0.1,-7.74,16.9,9.07
Tee Higgins,WR,CIN,LAC,4400,0,-8.67,15.9,7.21
Justin Jackson,RB,LAC,@CIN,4400,0,-7.79,15.4,7.61
Kenny Stills,WR,HOU,@KC,4400,0,-8.67,14.6,5.95
Dion Lewis,RB,NYG,PIT,4400,0,-7.79,14.4,6.59
Giovani Bernard,RB,CIN,LAC,4400,0,-7.79,14.9,7.11
Chase Edmonds,RB,ARI,@SF,4400,0,-7.79,15,7.2
Devin Duvernay,WR,BAL,CLE,4400,0,-8.67,14.7,6.01
A.J. Dillon,RB,GB,@MIN,4400,0,-7.79,14.3,6.48
Russell Gage,WR,ATL,SEA,4300,1,-7.47,18.9,10.47
James Washington,WR,PIT,@NYG,4300,0.3,-8.16,19.2,10.71
Rashard Higgins,WR,CLE,@BAL,4300,0,-8.47,12,3.5
Ito Smith,RB,ATL,SEA,4300,0,-7.61,13.8,6.16
Damien Harris,RB,NE,MIA,4300,0,-7.61,11.8,4.19
Jalen Reagor,WR,PHI,@WAS,4300,0,-8.47,11.8,3.31
Denzel Mims,WR,NYJ,@BUF,4300,0,-8.47,14.5,6.02
Joshua Kelley,RB,LAC,@CIN,4300,0,-7.61,17.8,10.15
Diontae Johnson,WR,PIT,@NYG,4200,2.2,-6.04,22.3,14
Noah Fant,TE,DEN,TEN,4200,1.4,-6.21,17.4,9.72
T.J. Hockenson,TE,DET,CHI,4200,1.3,-6.3,17.1,9.41
Bryan Edwards,WR,LV,@CAR,4200,1.1,-7.14,20.3,11.98
Darrel Williams,RB,KC,HOU,4200,1,-6.39,19.6,12.18
Alexander Mattison,RB,MIN,GB,4200,0.3,-7.12,17.6,10.21
Tevin Coleman,RB,SF,ARI,4200,0.3,-7.17,18.1,10.67
Mecole Hardman,WR,KC,HOU,4200,0.2,-8.08,20.4,12.11
Zach Pascal,WR,IND,@JAX,4200,0,-8.27,17.8,9.5
Lynn Bowden,RB,MIA,@NE,4200,0,-7.43,15.1,7.68
Greg Ward,WR,PHI,@WAS,4200,0,-8.27,16.8,8.49
Phillip Dorsett,WR,SEA,@ATL,4200,0,-8.27,13.9,5.67
John Ross,WR,CIN,LAC,4200,0,-8.27,16,7.75
Chris Conley,WR,JAX,IND,4200,0,-8.27,18,9.72
Dallas Goedert,TE,PHI,@WAS,4100,2.7,-4.74,18.9,11.44
CeeDee Lamb,WR,DAL,@LAR,4100,2.1,-5.94,21.6,13.5
Jamaal Williams,RB,GB,@MIN,4100,0.2,-7.11,17.2,9.9
J.D. McKissic,RB,WAS,PHI,4100,0.1,-7.17,16.7,9.45
Marquez Valdes-Scantling,WR,GB,@MIN,4100,0,-8.08,14.5,6.43
Miles Boykin,WR,BAL,CLE,4100,0,-8.08,18.1,10.01
Olabisi Johnson,WR,MIN,GB,4100,0,-8.08,17.7,9.66
Scott Miller,WR,TB,@NO,4100,0,-8.08,13.8,5.76
Jaylen Samuels,RB,PIT,@NYG,4100,0,-7.26,13.1,5.82
LeSean McCoy,RB,TB,@NO,4100,0,-7.26,15.8,8.56
Antonio Gibson,RB,WAS,PHI,4000,3.3,-3.83,21.1,14.01
Chris Thompson,RB,JAX,IND,4000,2.9,-4.23,19.8,12.69
Jerry Jeudy,WR,DEN,TEN,4000,1.8,-6.04,21.1,13.17
Ryan Nall,RB,CHI,@DET,4000,1.1,-6,18.1,11.07
Rex Burkhead,RB,NE,MIA,4000,0.9,-6.23,18.2,11.17
Corey Davis,WR,TEN,@DEN,4000,0.8,-7.09,18.5,10.67
Devine Ozigbo,RB,JAX,IND,4000,0.4,-6.66,17.3,10.22
Nyheim Hines,RB,IND,@JAX,4000,0.1,-6.94,16,8.93
Bryce Love,RB,WAS,PHI,4000,0,-7.08,15,7.91
Ameer Abdullah,RB,MIN,GB,4000,0,-7.08,13.3,6.21
Patrick DiMarco,RB,BUF,NYJ,4000,0,-7.08,12.3,5.26
Jakob Johnson,RB,NE,MIA,4000,0,-7.08,12.3,5.26
Patrick Ricard,RB,BAL,CLE,4000,0,-7.08,12.5,5.38
Corey Clement,RB,PHI,@WAS,4000,0,-7.08,12.2,5.11
Devontae Booker,RB,LV,@CAR,4000,0,-7.08,15,7.9
Darrynton Evans,RB,TEN,@DEN,4000,0,-7.08,14.9,7.87
Ryquell Armstead,RB,JAX,IND,4000,0,-7.08,11.8,4.72
T.J. Yeldon,RB,BUF,NYJ,4000,0,-7.08,12.3,5.22
Frank Gore,RB,NYJ,@BUF,4000,0,-7.08,15,7.97
Derek Watt,RB,PIT,@NYG,4000,0,-7.08,11.8,4.72
Dwayne Washington,RB,NO,TB,4000,0,-7.08,11.8,4.72
Trayveon Williams,RB,CIN,LAC,4000,0,-7.08,12,4.94
Patrick Laird,RB,MIA,@NE,4000,0,-7.08,14.1,7.02
Antonio Gandy-Golden,WR,WAS,PHI,4000,0,-7.88,15.1,7.2
James Robinson,RB,JAX,IND,4000,0,-7.08,16,8.96
Jerick McKinnon,RB,SF,ARI,4000,0,-7.08,15.8,8.73
Wayne Gallman,RB,NYG,PIT,4000,0,-7.08,12,4.97
Khari Blasingame,RB,TEN,@DEN,4000,0,-7.08,12.8,5.72
Buddy Howell,RB,HOU,@KC,4000,0,-7.08,12.2,5.16
Justice Hill,RB,BAL,CLE,4000,0,-7.08,12.1,5.05
C.J. Ham,RB,MIN,GB,4000,0,-7.08,13.6,6.49
Royce Freeman,RB,DEN,TEN,4000,0,-7.08,13.3,6.23
Peyton Barber,RB,WAS,PHI,4000,0,-7.08,13.5,6.43
Jordan Wilkins,RB,IND,@JAX,4000,0,-7.08,12.6,5.5
Travis Homer,RB,SEA,@ATL,4000,0,-7.08,13.1,6.01
Kyle Juszczyk,RB,SF,ARI,4000,0,-7.08,15.4,8.35
Tre'Quan Smith,WR,NO,TB,4000,0,-7.88,18,10.07
Mike Davis,RB,CAR,LV,4000,0,-7.08,14.2,7.11
Gus Edwards,RB,BAL,CLE,4000,0,-7.08,13.1,6.06
